#node	date	numeric date
NODE_0000172	1923-11-13	1923.867506
NODE_0000173	1946-09-20	1946.719732
NODE_0000174	1975-02-05	1975.096249
ON014634.1_6101-3_2019	2019-01-01	2019.000000
ON014608.1_PS1662_2021	2021-01-01	2021.000000
NODE_0000175	1953-04-09	1953.270456
ON014674.1_4094-3_2021	2021-01-01	2021.000000
NODE_0000176	1953-11-28	1953.908554
NODE_0000177	1965-11-01	1965.833036
NODE_0000178	1988-07-22	1988.555793
ON014607.1_19V263-19-44875_2019	2019-01-01	2019.000000
ON014609.1_19V263-19-44877_2019	2019-01-01	2019.000000
NODE_0000179	1979-01-22	1979.059765
PQ757584.1_PPV1-TvWB33_2023	2023-01-01	2023.000000
NODE_0000180	1992-02-12	1992.116673
ON014602.1_1513-2_2020	2020-01-01	2020.000000
PQ757582.1_PPV1-MosWB30_2023	2023-01-01	2023.000000
NODE_0000181	1960-02-07	1960.102893
NODE_0000182	1984-12-22	1984.974670
ON014619.1_PS3305_2021	2021-01-01	2021.000000
ON014631.1_9207-1_2016	2016-01-01	2016.000000
NODE_0000183	1963-10-13	1963.780981
ON014646.1_72-1_2016	2016-01-01	2016.000000
NODE_0000184	1968-10-14	1968.786768
ON014633.1_8468-1_2017	2017-01-01	2017.000000
NODE_0000185	2002-10-18	2002.796911
ON014645.1_4178-2_2020	2020-01-01	2020.000000
ON014642.1_88-1_2018	2018-01-01	2018.000000
NODE_0000186	1930-03-03	1930.167301
NODE_0000187	1962-12-25	1962.981420
ON014641.1_10495-1_2017	2017-01-01	2017.000000
MH447542.1_PPV1-KF1_2017	2017-01-01	2017.000000
NODE_0000189	1953-01-15	1953.038519
NODE_0000190	1956-09-04	1956.675965
ON014637.1_4914-1_2016	2016-01-01	2016.000000
NODE_0000191	2017-03-17	2017.206327
GD58-0928-M_2023	2023-01-01	2023.000000
E3-1203-D_2023	2023-01-01	2023.000000
NODE_0000193	1971-04-07	1971.265406
MN326127.1_GD17-2017_2017	2017-01-01	2017.000000
NODE_0000194	1989-07-24	1989.559974
ON014635.1_6685-1_2020	2020-01-01	2020.000000
PQ757593.1_PPV1-TvWB89_2023	2023-01-01	2023.000000
NODE_0000195	1964-11-25	1964.901359
ON014611.1_PS787_2021	2021-01-01	2021.000000
NODE_0000196	1992-12-13	1992.949182
MZ677266.1_CH-HN-3-2021_2021	2021-01-01	2021.000000
MZ706996.2_CH-HN-H-2021_2021	2021-01-01	2021.000000
NODE_0000197	1949-10-16	1949.790361
NODE_0000206	1949-10-16	1949.790361
ON014639.1_726-1_2021	2021-01-01	2021.000000
NODE_0000207	2011-05-29	2011.407224
ON014638.1_9167-2_2020	2020-01-01	2020.000000
PPV1-0515-C-SC_2022	2022-01-01	2022.000000
NODE_0000208	1957-11-08	1957.854126
ON014606.1_PS383_2020	2020-01-01	2020.000000
NODE_0000209	1963-09-08	1963.685604
NODE_0000210	1979-12-17	1979.960878
ON014621.1_PS3323_2021	2021-01-01	2021.000000
PQ757589.1_PPV1-BelWB61_2023	2023-01-01	2023.000000
NODE_0000211	1987-06-21	1987.468957
PP921712.1_PPV1-COL-Antioquia114-2021_2021	2021-01-01	2021.000000
PPV1-0306-HB_2022	2022-01-01	2022.000000
NODE_0000198	1950-12-07	1950.934122
OR435320.1_GX202206-1_2022	2022-01-01	2022.000000
NODE_0000199	1951-11-10	1951.859261
NODE_0000200	1975-10-09	1975.772401
PP921711.1_PPV1-COL-Antioquia112-2021_2021	2021-01-01	2021.000000
ON014676.1_3928-1_2021	2021-01-01	2021.000000
NODE_0000201	1958-10-21	1958.805344
MK092381.1_PPV1-DJH15_2015	2015-01-01	2015.000000
NODE_0000202	1963-09-26	1963.736879
MK092384.1_PPV1-DJH24_2015	2015-01-01	2015.000000
NODE_0000203	1970-03-08	1970.183047
MK092383.1_PPV1-DJH23_2015	2015-01-01	2015.000000
NODE_0000204	1976-12-30	1976.996559
MK092382.1_PPV1-DJH22_2015	2015-01-01	2015.000000
MK092380.1_PPV1-DJH11_2015	2015-01-01	2015.000000
